Size,MergeSort,Hybrid5,Hybrid30
95000,14279,10252,8475
95100,14463,10316,8363
95200,14746,10168,8389
95300,14372,10511,8337
95400,14362,10110,8580
95500,14249,10144,8410
95600,14564,10773,8697
95700,14576,10481,8465
95800,14578,10214,8421
95900,14356,10228,8701
96000,14503,10468,8702
96100,14608,10319,8551
96200,14490,10659,8483
96300,14418,10297,8707
96400,14636,10380,8508
96500,14756,10367,8568
96600,14835,10458,8623
96700,14616,10135,8683
96800,14486,10385,8676
96900,14624,11084,10057
97000,14719,10668,8597
97100,14819,10532,8631
97200,14433,10660,8689
97300,14724,10412,8643
97400,14544,10541,8555
97500,14756,10660,8626
97600,14700,10383,8724
97700,14903,10466,8734
97800,14939,10482,8874
97900,14829,10582,8608
98000,14779,10568,8595
98100,14768,10651,8839
98200,14705,10796,8663
98300,16541,10619,8835
98400,15039,10590,8891
98500,14933,10611,8929
98600,15211,10842,8802
98700,14815,10676,8801
98800,15301,10751,8691
98900,14778,10579,8833
99000,15109,10727,9403
99100,14960,10775,8749
99200,15181,10683,8974
99300,15223,10561,11620
99400,15363,10879,8995
99500,15308,10640,8908
99600,15009,10837,11721
99700,15298,10825,9086
99800,15344,10550,9146
99900,15458,10842,8945
100000,15076,10695,9073
